Data;Mese;Descrizione;Importo Entrata;Importo Uscita;Categoria;Conto
12/02/2025;Febbraio;bla bla car;12,00 €;;Viaggi e Trasporti;Paypal
13/02/2025;Febbraio;bar;;3,70 €;Bar e Ristoranti;Satispay
13/02/2025;Febbraio;pescheria;;11,69 €;Spesa;ING - CC
13/02/2025;Febbraio;macellaio;;18,90 €;Spesa;ING - CC
13/02/2025;Febbraio;birra;;7,00 €;Bar e Ristoranti;ING - CC
15/02/2025;Febbraio;cinema;;20,00 €;Svago e Intrattenimento;Buddybank
15/02/2025;Febbraio;acqua;;1,20 €;Bar e Ristoranti;Cash
15/02/2025;Febbraio;esselunga;;5,72 €;Spesa;Buddybank
15/02/2025;Febbraio;cena club nautico;;74,00 €;Bar e Ristoranti;ING - CC
15/02/2025;Febbraio;libro;;14,70 €;Shopping;ING - CC
15/02/2025;Febbraio;spesa;;16,00 €;Spesa;Buoni Pasto
16/02/2025;Febbraio;pizze;;26,79 €;Bar e Ristoranti;Buddybank
16/02/2025;Febbraio;cursor;;19,33 €;Casa e Utenze;Revolut
16/02/2025;Febbraio;github copilot;;8,55 €;Casa e Utenze;Buddybank
17/02/2025;Febbraio;referral fee revolut;30,00 €;;Altre Entrate;Revolut
17/02/2025;Febbraio;cacciaviti di precisione x pc;;11,99 €;Shopping;Revolut
18/02/2025;Febbraio;rimborso airpods;199,00 €;;Shopping;Buddybank
18/02/2025;Febbraio;bar;;3,70 €;Bar e Ristoranti;Satispay
18/02/2025;Febbraio;icloud+;;0,99 €;Casa e Utenze;Paypal
20/02/2025;Febbraio;caffè;;2,40 €;Bar e Ristoranti;Satispay
20/02/2025;Febbraio;panetteria;;6,50 €;Spesa;ING - CC
20/02/2025;Febbraio;birra;;6,00 €;Bar e Ristoranti;ING - CC
21/02/2025;Febbraio;caffè;;1,20 €;Bar e Ristoranti;Satispay
21/02/2025;Febbraio;benzina;;40,41 €;Viaggi e Trasporti;ING - CC
21/02/2025;Febbraio;pranzo;;5,90 €;Bar e Ristoranti;ING - CC
21/02/2025;Febbraio;cena bardo;;60,00 €;Bar e Ristoranti;ING - CC
21/02/2025;Febbraio;pranzo;;8,00 €;Bar e Ristoranti;Buoni Pasto
22/02/2025;Febbraio;benzina;;51,65 €;Viaggi e Trasporti;ING - CC
22/02/2025;Febbraio;sati;0,29 €;;Altre Entrate;ING - CC
22/02/2025;Febbraio;sati;0,14 €;;Altre Entrate;ING - CC
23/02/2025;Febbraio;pranzo piste;;25,00 €;Bar e Ristoranti;ING - CC
23/02/2025;Febbraio;pizze;;15,00 €;Bar e Ristoranti;ING - CC
23/02/2025;Febbraio;bla bla car;10,00 €;;Viaggi e Trasporti;Paypal
24/02/2025;Febbraio;ricarica satispay;44,60 €;;Trasferimenti;Satispay
24/02/2025;Febbraio;rata airpods;;36,00 €;Shopping;ING - CC
24/02/2025;Febbraio;ricarica satispay;;44,60 €;Trasferimenti;ING - CC
25/02/2025;Febbraio;bla bla car;;14,89 €;Viaggi e Trasporti;Buddybank
25/02/2025;Febbraio;bla bla car;;2,68 €;Viaggi e Trasporti;Buddybank
25/02/2025;Febbraio;mc;;3,10 €;Bar e Ristoranti;ING - CC
25/02/2025;Febbraio;treno sv mi;;18,80 €;Viaggi e Trasporti;Paypal
26/02/2025;Febbraio;caffè;;1,20 €;Bar e Ristoranti;Satispay
26/02/2025;Febbraio;benzina;;31,07 €;Viaggi e Trasporti;ING - CC
26/02/2025;Febbraio;esselunga;;3,86 €;Spesa;ING - CC
27/02/2025;Febbraio;bla bla car;24,00 €;;Viaggi e Trasporti;Paypal
28/02/2025;Febbraio;trasferimento;500,00 €;;Trasferimenti;Revolut
28/02/2025;Febbraio;panettiere;;2,85 €;Spesa;Satispay
28/02/2025;Febbraio;stipendio;1.814,00 €;;Stipendio;ING - CC
28/02/2025;Febbraio;pranzo;;4,00 €;Bar e Ristoranti;ING - CC
28/02/2025;Febbraio;pizza;;15,00 €;Bar e Ristoranti;ING - CC
28/02/2025;Febbraio;trasferimento;;500,00 €;Trasferimenti;ING - CC
28/02/2025;Febbraio;metro;;4,40 €;Viaggi e Trasporti;ING - CC
28/02/2025;Febbraio;google one;;2,99 €;Casa e Utenze;Paypal
28/02/2025;Febbraio;pranzo;;8,00 €;Bar e Ristoranti;Buoni Pasto
01/03/2025;Marzo;parrucchiere;;25,00 €;Salute;ING - CC
01/03/2025;Marzo;spesa;;7,61 €;Spesa;ING - CC
01/03/2025;Marzo;lampadina e presa smart tapo;;21,98 €;Shopping;ING - CC
01/03/2025;Marzo;mc;;6,65 €;Bar e Ristoranti;ING - CC
01/03/2025;Marzo;ape;;17,00 €;Bar e Ristoranti;ING - CC
02/03/2025;Marzo;commissioni;;0,09 €;Altro;Buddybank
02/03/2025;Marzo;spesa;;16,00 €;Spesa;Buoni Pasto
03/03/2025;Marzo;bar;;3,70 €;Bar e Ristoranti;Satispay
03/03/2025;Marzo;pollo mercato;;33,47 €;Spesa;ING - CC
03/03/2025;Marzo;ricarica buoni pasto;152,00 €;;Altre Entrate;Buoni Pasto
04/03/2025;Marzo;pac;200,00 €;;Trasferimenti;Investimenti
04/03/2025;Marzo;xeon;170,00 €;;Trasferimenti;Investimenti
04/03/2025;Marzo;cursor;;1,12 €;Casa e Utenze;Revolut
04/03/2025;Marzo;bla bla car;;12,39 €;Viaggi e Trasporti;Buddybank
04/03/2025;Marzo;aws;;4,98 €;Casa e Utenze;Buddybank
04/03/2025;Marzo;pac;;200,00 €;Trasferimenti;ING - CC
04/03/2025;Marzo;xeon;;170,00 €;Trasferimenti;ING - CC
04/03/2025;Marzo;tag nfc x home automation;;11,99 €;Shopping;ING - CC
04/03/2025;Marzo;treno;;18,80 €;Viaggi e Trasporti;Paypal
05/03/2025;Marzo;caffè;;2,40 €;Bar e Ristoranti;Satispay
05/03/2025;Marzo;pranzo porto;;16,30 €;Bar e Ristoranti;Buddybank
06/03/2025;Marzo;focaccia;;4,20 €;Spesa;Satispay
06/03/2025;Marzo;rimborso bla bla car;10,00 €;;Viaggi e Trasporti;Buddybank
06/03/2025;Marzo;pranzo;;6,00 €;Bar e Ristoranti;ING - CC
06/03/2025;Marzo;metro;;4,40 €;Viaggi e Trasporti;ING - CC
